0.	-152.1368407	-152.1368407	76.06842034999998	76.06842034999998	76.06842035	76.06842035	0.	1.	1.	-0.6000000000000001	-0.6000000000000001	-0.6	-0.6	-0.5999999999999999	-0.5999999999999999	0.4000000000000001	0.4000000000000001	0.39999999999999997	0.39999999999999997
0.5	-152.37256132431472	-151.90494778532064	75.3679283578	75.83684079312067	76.30382761651471	76.7689123422	0.5	2.156212199345449	-2.0014366422	-1.6467056874324912	1.5839767910440303	-1.216377422820302	0.9232729470395469	0.8014366421999999	0.642398833163098	-0.5968610325085477	-0.42198095476750913	-0.30864552421924474	0.08470985115596938
1.	-152.61208604970818	-151.67690599621193	74.6674363656	75.60911236181194	76.54303898410821	77.4694043344	1.	3.500495023251092	-3.4028732844	-2.9366294826411634	2.913605279257372	-2.381162575550026	2.2028732844	1.2839860182138012	1.0166475068632024	-1.0007438017588348	-0.9136425301142957	-0.9063234426637732	0.6237680051426275
1.5	-152.8553910848241	-151.45273854609337	73.9669443734	75.38525826949336	76.78603066142409	78.1698963266	1.5	4.876325815249585	-4.8043099266	-4.294352005094404	4.2831138340685575	-3.7128157702857356	3.6043099265999996	1.707138299038123	-1.5117079215055955	1.4508179842058888	-1.399572528752386	-1.3218937994554734	1.1229460925314418
2.	-153.10245246524823	-151.23246843590934	73.2664523812	75.16530151710937	77.03277868404824	78.8703883188	2.	6.263374651750491	-6.2057465688	-5.673559198888301	5.6670110350356255	-5.0839577452278455	5.005746568799999	2.1505342333009607	-2.001187369911697	1.9028154105947808	-1.8735764880731136	-1.759190062345273	1.6077355337643737
2.5	-153.3532460631639	-151.01611844411227	72.565960389	74.94926488311225	77.28325892416389	79.570880311	2.5	7.655712969960278	-7.607183211000001	-7.061764292363352	7.057502550811499	-6.468894585640263	6.4071832109999995	2.602955699849326	-2.4816689186366467	2.3616437927744305	-2.34281111420906	-2.2086067627347084	2.085930660188499
3.	-153.60774759691392	-150.80371111659593	71.8654683968	74.73717091339596	77.53744710011392	80.2713723032	3.	9.050965278754589	-9.008619853199999	-8.454513329991045	8.451526297138251	-7.86012072720825	7.8086198532	3.0601597921117145	-2.9576065232089586	2.823662013202479	-2.8105390649034607	-2.6641272919570707	2.560593556061745
3.5	-153.86593264046343	-150.59526875658833	71.1649764046	74.52904191118832	77.79531878586343	80.9718642954	3.5	10.44799315790382	-10.4100564954	-9.849859871503483	9.847652948117632	-9.254719882467253	9.2100564954	3.520196203385781	-3.430946623896516	3.2873873554226307	-3.2777263209185263	-3.123130513326453	3.0331535472823656
4.	-154.12777663275705	-150.390813414511	70.4644844124	74.32489992691103	78.05684942035704	81.6723562876	4.	11.846182707536844	-11.8114931376	-11.246825753199621	11.245129871391745	-10.651332863294124	10.6114931376	3.9820458514891452	-3.902667384400378	3.75211946416979	-3.744712988195024	-3.584302171706637	3.5043632662082556
4.5	-154.39325488696517	-150.19036687781545	69.7639924202	74.12476674801549	78.32201431676519	82.3728482798	4.5	13.245173699280745	-13.2129297798	-12.644867599096486	12.64352425944887	-12.0492429158458	12.0129297798	4.445125279760077	-4.373312180703509	4.21748966151626	-4.2116323639142745	-4.04691336079701	3.974655520351125
5.	-154.66234259961394	-149.993950660804	69.063500428	73.92866388880401	78.59078867161391	83.073340272	5.	14.644740843834036	-14.614366422	-14.043660052171287	14.04256997773553	-13.448036866008827	13.414366422	4.909076705090131	-4.843206369828711	4.683287296896879	-4.678539839081298	-4.510528140730917	4.4442964442644675
5.5	-154.93501485959334	-149.8015859944454	68.3630084358	73.73661258024542	78.86314757379334	83.7738322642	5.5	16.044736031149167	-16.0158030642	-15.442996638624457	15.442094542507391	-14.847459981652902	14.8158030642	5.373668670599219	-5.31255642557554	5.149384068625227	-5.145458688946311	-4.974870099774403	4.913458521692606
6.	-155.21124665703982	-149.61329381619475	67.6625164436	73.54863375979474	79.1390660134398	84.4743242564	6.	17.445057895201476	-17.4172397064	-16.842740114238282	16.84198132888396	-16.24734674407304	16.217239706399997	5.838744877486447	-5.7814995921617145	5.615697730933832	-5.612398133413397	-5.439755626135307	5.382258377516036
6.5	-155.49101289208744	-149.42909475982657	66.9620244514	73.36474806122655	79.41851889068747	85.1748162486	6.5	18.845634725940812	-18.8186763486	-18.242795738712637	18.242148685469477	-17.64758496829249	17.618676348599998	6.304195999936212	-6.250130609887368	6.082173310405904	-6.079361031643712	-5.905058036346717	5.850777663130522
7.	-155.77428838348493	-149.249009145292	66.2615324592	73.184975804492	79.70148102428492	85.8753082408	7.	20.24641436544988	-20.2201129908	-19.64309602630344	19.64253775559537	-19.048095937596727	19.020112990799998	6.7699432878887285	-6.718516964496554	6.548772761723267	-6.546347350292001	-6.370687127173146	6.319075235204626
7.5	-156.06104787707338	-149.07305696860962	65.561040467	73.00933698560962	79.98792716007335	86.575800233	7.5	21.647357970775722	-21.621549633	-21.0435916143629	21.04310505063087	-20.44882279624406	20.421549632999998	7.235928584979022	-7.186708018637096	7.015468969805191	-7.013355788734948	-6.836576940580923	6.787194582369125
8.	-156.35126605412228	-148.9012578918002	64.8605484748	72.8378512666002	80.2778319793223	87.2762922252	8.	23.04843602078895	-23.0229862752	-22.444245568782794	22.443817746374886	-21.849723456983682	21.822986275199998	7.702108014692795	-7.654740706417202	7.4822421177304665	-7.4803845577091055	-7.302678138519424	7.255168528825108
