
#Surface 0 of 1 surfaces

#IsoCurve 0, 101 points
#x y z type
 0  0  0 i
 7  0.00372134  0.00446593 i
 14  0.00744267  0.00893187 i
 21  0.011164  0.0133978 i
 28  0.0148853  0.0178637 i
 35  0.0186067  0.0223297 i
 42  0.022328  0.0267956 i
 49  0.0260494  0.0312615 i
 56  0.0297707  0.0357275 i
 63  0.033492  0.0401934 i
 70  0.0372134  0.0446593 i
 77  0.0409347  0.0491253 i
 84  0.044656  0.0535912 i
 91  0.0483774  0.0580571 i
 98  0.0520987  0.0625231 i
 105  0.05582  0.066989 i
 112  0.0595414  0.0714549 i
 119  0.0632627  0.0759209 i
 126  0.0669841  0.0803868 i
 133  0.0707054  0.0848527 i
 140  0.0744267  0.0893187 i
 147  0.0781481  0.0937846 i
 154  0.0818694  0.0982505 i
 161  0.0855907  0.102716 i
 168  0.0893121  0.107182 i
 175  0.0930334  0.111648 i
 182  0.0967547  0.116114 i
 189  0.100476  0.12058 i
 196  0.104197  0.125046 i
 203  0.107919  0.129512 i
 210  0.11164  0.133978 i
 217  0.115361  0.138444 i
 224  0.119083  0.14291 i
 231  0.122804  0.147376 i
 238  0.126525  0.151842 i
 245  0.130247  0.156308 i
 252  0.133968  0.160774 i
 259  0.137689  0.16524 i
 266  0.141411  0.169705 i
 273  0.145132  0.174171 i
 280  0.148853  0.178637 i
 287  0.152575  0.183103 i
 294  0.156296  0.187569 i
 301  0.160017  0.192035 i
 308  0.163739  0.196501 i
 315  0.16746  0.200967 i
 322  0.171181  0.205433 i
 329  0.174903  0.209899 i
 336  0.178624  0.214365 i
 343  0.182345  0.218831 i
 350  0.186067  0.223297 i
 357  0.189788  0.227763 i
 364  0.193509  0.232229 i
 371  0.197231  0.236694 i
 378  0.200952  0.24116 i
 385  0.204674  0.245626 i
 392  0.208395  0.250092 i
 399  0.212116  0.254558 i
 406  0.215838  0.259024 i
 413  0.219559  0.26349 i
 420  0.22328  0.267956 i
 427  0.227002  0.272422 i
 434  0.230723  0.276888 i
 441  0.234444  0.281354 i
 448  0.238166  0.28582 i
 455  0.241887  0.290286 i
 462  0.245608  0.294752 i
 469  0.24933  0.299217 i
 476  0.253051  0.303683 i
 483  0.256772  0.308149 i
 490  0.260494  0.312615 i
 497  0.264215  0.317081 i
 504  0.267936  0.321547 i
 511  0.271658  0.326013 i
 518  0.275379  0.330479 i
 525  0.2791  0.334945 i
 532  0.282822  0.339411 i
