#    uvpow           nfit
    11.400   1.227688e+06
    15.400   1.179918e+06
    1.400   3.999433e+05
    9.400   1.052816e+06
    5.400   9.349228e+05
    3.400   7.141949e+05
    13.400   1.162930e+06
    7.400   1.025034e+06
