Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 12.8 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:   10
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	    8.190882e-005	     3.08892e-007	        -81.73332
             16	    1.100116e-005	    7.444749e-006	        -97.53379
             32	    1.188199e-005	    1.201284e-005	        -95.44409
             48	    2.484161e-005	    2.190867e-005	        -89.59756
             64	    5.710686e-005	    6.678142e-005	        -81.12329
             80	    1.042714e-005	    1.770295e-005	        -93.74564
             96	    9.323716e-006	    1.261789e-005	        -96.08813
            112	    8.468694e-006	    1.226245e-005	        -96.53477
            128	    1.044891e-005	    1.112849e-005	        -96.32601
            144	    1.088094e-005	    1.053545e-005	        -96.39425
            160	    1.530713e-005	    1.614231e-005	        -93.05498
            176	    6.375133e-005	    6.316476e-005	        -80.93987
            192	    2.080536e-005	     2.01689e-005	        -90.75903
            208	    1.052286e-005	    1.122137e-005	        -96.25894
            224	    6.565938e-006	    7.301873e-006	        -100.1579
            240	    7.525492e-006	    7.517071e-006	        -99.46386
            256	    4.230137e-006	    5.865598e-006	         -102.815
            272	    3.725093e-006	     5.01011e-006	        -104.0919
            288	    3.291606e-006	    4.072148e-006	        -105.6198
            304	    7.431741e-006	     8.01699e-006	        -99.22622
            320	    3.123079e-006	    3.488521e-006	        -106.5909
            336	    2.081697e-006	    3.364914e-006	        -108.0532
            352	    3.136197e-006	    4.077121e-006	        -105.7743
            368	    3.502115e-006	    4.593806e-006	        -104.7667
            384	    2.825266e-006	      4.2786e-006	        -105.8023
            400	    4.596892e-006	    4.809877e-006	        -103.5393
            416	    2.053109e-005	    2.075958e-005	        -90.69313
            432	    8.710283e-006	    6.905646e-006	        -99.08133
            448	    5.027585e-006	    5.222956e-006	        -102.7938
            464	    3.580989e-006	    3.799425e-006	        -105.6449
            480	    5.099683e-006	     5.40921e-006	        -102.5754
            496	    2.623929e-006	    3.798005e-006	        -106.7142
            512	    4.544289e-006	    2.700859e-006	        -105.5369
            528	    3.367184e-006	    4.178757e-006	        -105.4061
            544	    4.926039e-006	    4.664626e-006	        -103.3701
            560	    3.433849e-006	    2.449669e-006	        -107.4977
            576	    2.733005e-006	    3.016211e-006	        -107.8076
            592	    3.316474e-006	    4.497562e-006	        -105.0547
            608	    3.179166e-006	    3.605713e-006	        -106.3623
            624	    2.665643e-006	    3.498326e-006	        -107.1346
            640	    4.925349e-006	    3.528898e-006	        -104.3519
            656	    1.657725e-005	    1.626054e-005	        -92.68242
            672	    6.609696e-006	     5.72635e-006	        -101.1646
            688	    3.223005e-006	    2.064836e-006	        -108.3412
            704	    1.774559e-006	    2.216826e-006	        -110.9348
            720	    2.403553e-006	    3.178483e-006	        -107.9915
            736	    1.596434e-006	    2.013764e-006	         -111.802
            752	    1.631908e-006	    1.939786e-006	        -111.9207
            768	    1.616501e-006	    2.099167e-006	        -111.5369
            784	    4.583371e-006	    3.578468e-006	        -104.7092
            800	    2.141737e-006	     2.67178e-006	        -109.3087
            816	    2.153313e-006	    2.110135e-006	        -110.4146
            832	     2.76634e-006	    2.215233e-006	        -109.0101
            848	    2.164914e-006	     2.12282e-006	        -110.3653
            864	    2.679767e-006	     1.80516e-006	        -109.8131
            880	     3.49144e-006	    3.288008e-006	        -106.3825
            896	    6.731222e-006	    6.948605e-006	        -100.2876
            912	    2.482885e-006	    3.206601e-006	        -107.8391
            928	    1.771608e-006	    1.818242e-006	         -111.908
            944	    2.553351e-006	    2.349662e-006	        -109.1936
            960	    1.794344e-006	    2.465199e-006	        -110.3166
            976	    1.832448e-006	    1.729105e-006	        -111.9739
            992	    1.941913e-006	    1.917773e-006	        -111.2791
           1008	    1.686837e-006	    1.258688e-006	        -113.5362
           1024	    2.664498e-006	    2.547488e-005	        -91.83051
           1040	    1.360801e-006	    1.614359e-006	        -113.5087
           1056	     1.62834e-006	    1.339822e-006	        -113.5197
           1072	    2.436238e-006	    1.372304e-006	        -111.0688
           1088	    1.596646e-006	    1.792858e-006	        -112.3931
           1104	    1.280791e-006	    1.520591e-006	        -114.0312
           1120	    1.866485e-006	    1.720755e-006	        -111.9079
           1136	    5.362881e-006	    5.242296e-006	        -102.4994
           1152	    2.600795e-006	    2.592806e-006	        -108.7009
           1168	     1.99783e-006	    1.937236e-006	        -111.1102
           1184	    1.652977e-006	    1.218995e-006	        -113.7486
           1200	    1.539229e-006	    2.158269e-006	        -111.5321
           1216	    1.158424e-006	      2.0137e-006	        -112.6785
           1232	    1.312392e-006	    1.206647e-006	         -114.978
