Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 25.6 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:   10
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	     0.0002313594	    8.724953e-007	         -72.7142
             32	    1.846463e-005	    1.248096e-005	        -93.03891
             64	    7.021547e-005	    7.752771e-005	        -79.60953
             96	    1.229993e-005	     1.68048e-005	        -93.62821
            128	    1.650174e-005	    1.698322e-005	        -92.51241
            160	    3.846124e-005	    3.092199e-005	        -86.13423
            192	    5.405839e-005	    5.326046e-005	        -82.39654
            224	    1.513067e-005	    1.734794e-005	        -92.75816
            256	    8.441155e-006	    1.116695e-005	        -97.07846
            288	     6.68368e-006	    1.257048e-005	         -96.9317
            320	    6.561075e-006	    6.961036e-006	        -100.3856
            352	    8.256299e-006	    9.781446e-006	        -97.85571
            384	    7.233135e-006	    5.441381e-006	        -100.8657
            416	    2.832194e-005	    2.662792e-005	        -88.20684
            448	    5.916819e-006	    6.051829e-006	        -101.4488
            480	    7.021302e-006	    7.389533e-006	        -99.83368
            512	    4.507694e-006	    6.062596e-006	        -102.4356
            544	    6.156978e-006	    6.563262e-006	         -100.916
            576	    3.619507e-006	    5.747072e-006	        -103.3602
            608	    5.895673e-006	    5.513596e-006	        -101.8603
            640	    9.652116e-006	    9.824368e-006	        -97.21975
            672	    1.207021e-005	    1.285321e-005	        -95.07387
            704	    4.386321e-006	    3.764447e-006	        -104.7611
            736	    3.755956e-006	    2.380565e-006	         -107.039
            768	    2.966946e-006	    3.623403e-006	        -106.5893
            800	    4.371554e-006	    2.891861e-006	        -105.6109
            832	    3.512089e-006	    4.396004e-006	        -104.9949
            864	     4.09841e-006	    3.459705e-006	        -105.4111
            896	    8.181538e-006	    8.667424e-006	        -98.47523
            928	    3.214627e-006	    2.936363e-006	        -107.2225
            960	    2.166925e-006	    3.807561e-006	        -107.1686
            992	    2.895119e-006	    2.945048e-006	        -107.6815
           1024	    2.410598e-005	    8.554032e-006	        -91.84243
           1056	    3.042976e-006	    2.005498e-006	        -108.7675
           1088	    2.500477e-006	    3.411024e-006	        -107.4745
           1120	    3.879996e-006	    4.052873e-006	        -105.0196
           1152	     4.78845e-006	     4.99251e-006	        -103.2008
           1184	    2.332864e-006	    2.540786e-006	        -109.2453
           1216	     2.07239e-006	     2.40261e-006	        -109.9709
           1248	    2.311987e-006	    3.433139e-006	         -107.662
           1280	     1.63494e-006	    1.712062e-006	        -112.5149
           1312	    2.673057e-006	    1.615326e-006	        -110.1079
           1344	    2.263714e-006	    2.737894e-006	        -108.9892
           1376	    5.663871e-006	    6.087096e-006	        -101.6032
           1408	    1.563191e-006	    1.815992e-006	        -112.4098
           1440	    2.449733e-006	    1.904156e-006	        -110.1651
           1472	    1.894937e-006	    2.359484e-006	         -110.382
           1504	     4.77411e-006	    5.036357e-006	        -103.1734
           1536	    1.931455e-006	    3.728867e-006	        -107.5363
           1568	    2.305347e-006	    3.336416e-006	        -107.8393
           1600	      1.9367e-006	     2.33519e-006	        -110.3603
           1632	    2.942515e-006	    2.842569e-006	        -107.7628
           1664	    2.550805e-006	     3.15536e-006	        -107.8349
           1696	    2.836851e-006	    2.390927e-006	        -108.6125
           1728	    2.398683e-006	     3.52757e-006	        -107.3999
           1760	    2.477351e-006	    2.391839e-006	        -109.2598
           1792	    2.292041e-006	    1.863995e-006	        -110.5909
           1824	    2.292518e-006	    2.257107e-006	        -109.8505
           1856	    3.802625e-006	    3.377763e-006	        -105.8722
           1888	    2.586504e-006	    1.842235e-006	        -109.9637
           1920	    3.021965e-006	     2.94745e-006	         -107.491
           1952	    2.471235e-006	    2.548136e-006	        -108.9963
           1984	    4.944959e-006	    4.533641e-006	        -103.4672
           2016	    3.072003e-006	    2.235793e-006	        -108.4055
           2048	    3.314966e-005	    6.258279e-006	        -89.43832
           2080	    3.915007e-006	    2.999419e-006	        -106.1397
           2112	    2.914562e-006	     3.48381e-006	        -106.8547
           2144	    3.859197e-006	    2.539795e-006	        -106.7073
           2176	     2.25126e-006	    2.964392e-006	        -108.5837
           2208	    7.540292e-006	    7.272718e-006	        -99.59602
           2240	    4.661603e-006	    4.869979e-006	        -103.4249
           2272	    2.647564e-006	    2.541461e-006	        -108.7068
           2304	    2.185073e-006	    2.817176e-006	        -108.9582
           2336	    2.018347e-006	    4.186697e-006	         -106.655
           2368	    3.050155e-006	    2.208551e-006	        -108.4829
           2400	    3.400342e-006	    2.240108e-006	         -107.804
           2432	    2.426189e-006	    2.904085e-006	        -108.4405
           2464	    4.939172e-006	    4.656665e-006	        -103.3649
           2496	    3.513714e-006	    3.227245e-006	         -106.428
           2528	    3.512452e-006	    3.155307e-006	        -106.5183
           2560	    4.218049e-006	    4.749073e-006	         -103.942
           2592	    6.003846e-006	    6.440195e-006	        -101.1057
           2624	    3.930071e-006	    3.633656e-006	        -105.4289
           2656	    3.128921e-006	    2.716708e-006	        -107.6521
           2688	    2.819502e-006	     2.67594e-006	        -108.2073
           2720	    2.396731e-006	     2.57792e-006	        -109.0693
           2752	    2.842871e-006	    2.057927e-006	         -109.095
           2784	     1.99584e-006	    2.717882e-006	        -109.4423
           2816	    2.622138e-006	    2.387997e-006	        -109.0038
           2848	    3.531645e-006	    4.158614e-006	        -105.2627
           2880	    2.359497e-006	    3.325514e-006	        -107.7921
           2912	    1.794972e-006	    2.223332e-006	        -110.8804
           2944	    4.069881e-006	    4.104141e-006	        -104.7615
           2976	    1.948466e-006	    2.060384e-006	        -110.9465
           3008	    2.062049e-006	    2.234128e-006	        -110.3417
           3040	    1.563947e-006	    1.384153e-006	        -113.6033
           3072	    9.189539e-006	    1.317637e-005	        -95.88272
           3104	    1.515102e-006	    2.212831e-006	        -111.4314
           3136	    1.747155e-006	    1.939354e-006	        -111.6662
           3168	    3.283704e-006	    3.074513e-006	        -106.9389
           3200	    1.918039e-006	    1.671616e-006	        -111.8888
           3232	    1.223315e-006	    1.749259e-006	        -113.4138
           3264	     1.44655e-006	    1.216062e-006	        -114.4717
           3296	    5.232182e-006	    4.775804e-006	        -102.9943
           3328	    1.430411e-006	    1.487027e-006	        -113.7086
           3360	    1.450903e-006	    1.652956e-006	        -113.1539
           3392	    1.653749e-006	    1.564295e-006	        -112.8551
           3424	    4.468889e-006	    5.109096e-006	        -103.3655
           3456	    1.333237e-006	    1.993823e-006	        -112.4012
           3488	    1.345996e-006	    1.936816e-006	        -112.5469
           3520	    1.850795e-006	    1.851396e-006	        -111.6411
           3552	    2.321967e-006	    1.995294e-006	        -110.2813
           3584	    1.876666e-006	    1.344992e-006	         -112.732
           3616	    1.637632e-006	    1.576446e-006	        -112.8676
           3648	    2.984589e-006	    2.961799e-006	        -107.5252
           3680	    1.449995e-006	    1.606702e-006	        -113.2939
           3712	    2.099337e-006	    2.138487e-006	        -110.4671
           3744	    1.675574e-006	    1.305073e-006	        -113.4575
           3776	    4.950004e-006	    4.080155e-006	        -103.8563
           3808	    9.608677e-007	     1.46776e-006	        -115.1179
           3840	    1.274651e-006	    1.143952e-006	        -115.3263
           3872	    1.254828e-006	    1.223372e-006	        -115.1269
           3904	    1.167328e-006	    1.445958e-006	        -114.6175
           3936	    9.989029e-007	     1.33411e-006	        -115.5632
           3968	     8.96684e-007	    9.618087e-007	        -117.6217
           4000	    1.183198e-006	    1.408164e-006	        -114.7071
           4032	    1.391651e-006	    1.176417e-006	        -114.7878
           4064	    1.310834e-006	    1.125415e-006	        -115.2508
           4096	    1.749171e-006	    3.427378e-006	        -108.2955
           4128	    1.721737e-006	    1.522985e-006	        -112.7705
           4160	    1.266005e-006	    1.044322e-006	         -115.697
           4192	    1.876283e-006	    1.716283e-006	        -111.8936
           4224	    1.176792e-006	     1.21155e-006	        -115.4474
           4256	    1.081033e-006	    1.274154e-006	        -115.5407
           4288	    1.012308e-006	    7.796668e-007	        -117.8711
           4320	    8.932415e-007	    1.231836e-006	        -116.3539
           4352	    8.124729e-007	    1.103282e-006	        -117.2646
           4384	    2.378184e-006	    1.922753e-006	        -110.2906
           4416	    5.898137e-007	     8.41855e-007	        -119.7609
           4448	    1.087016e-006	    1.008602e-006	         -116.578
           4480	    1.436614e-006	    1.504787e-006	        -113.6369
           4512	    2.062314e-006	    1.914143e-006	        -111.0144
