Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:    5
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	     6.47728e-005	    2.442691e-007	        -83.77209
              2	    8.184981e-007	    2.053755e-006	        -113.1088
              4	    5.582714e-006	     5.32314e-006	        -102.2546
              6	     7.49874e-007	    5.340392e-007	        -120.7186
              8	    2.760321e-006	    5.630527e-006	        -104.0536
             10	     1.01155e-006	    1.964196e-006	        -113.1146
             12	    4.441617e-006	     4.90644e-006	        -103.5852
             14	    9.617012e-007	    1.260119e-006	        -115.9985
             16	    5.368719e-006	    4.312991e-006	        -103.2399
             18	    1.487177e-006	    1.309134e-006	         -114.061
             20	    4.593065e-006	    3.445095e-006	        -104.8195
             22	    1.465827e-006	    1.146186e-006	        -114.6062
             24	    4.117713e-006	    3.931934e-006	        -104.8924
             26	    1.625157e-006	    1.273785e-006	        -113.7022
             28	    4.078826e-006	    4.504275e-006	        -104.3268
             30	    2.042059e-006	    2.439525e-006	        -109.9476
             32	    4.198042e-006	    3.926093e-006	        -104.8099
             34	    1.319357e-006	    1.200796e-006	        -114.9722
             36	     3.92925e-006	    4.190833e-006	        -104.8146
             38	    1.410476e-006	    1.814691e-006	        -112.7716
             40	    4.643251e-006	    3.117516e-006	        -105.0475
             42	    2.090845e-006	    1.931765e-006	        -110.9134
             44	    4.129003e-006	    3.602062e-006	        -105.2254
             46	    1.991896e-006	    3.048543e-006	        -108.7742
             48	    4.387868e-006	    3.678811e-006	         -104.843
             50	     1.88333e-006	    1.734691e-006	        -111.8336
             52	    3.324347e-006	    4.005632e-006	        -105.6709
             54	    3.119119e-006	    1.742645e-006	        -108.9395
             56	    3.420083e-006	    3.103495e-006	        -106.7104
             58	     1.86889e-006	    2.940779e-006	        -109.1575
             60	    2.449179e-005	     0.0001013166	        -79.63974
             62	      2.5393e-006	     3.01096e-006	        -108.0928
             64	    4.114084e-006	    3.746816e-006	        -105.0914
             66	    2.699015e-006	    2.752792e-006	        -108.2791
             68	     2.97496e-006	    2.869742e-006	        -107.6736
             70	    1.898829e-006	    3.835939e-006	        -107.3708
             72	    3.570816e-006	    3.255493e-006	        -106.3173
             74	    3.820052e-006	    1.704045e-006	        -107.5705
             76	    9.333882e-007	    4.805928e-006	        -106.2037
             78	    4.202596e-006	    2.658914e-006	        -106.0675
             80	    2.795711e-006	    2.248823e-006	        -108.9031
             82	    2.787114e-006	    4.266382e-006	        -105.8553
             84	     4.39226e-006	    1.791552e-006	        -106.4779
             86	    3.439034e-006	     2.81929e-006	        -107.0388
