Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 51.2 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:   10
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -32 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	     0.0004553171	    1.717078e-006	        -66.83366
             64	     0.0001377312	     0.0001307883	        -74.42788
            128	    2.545195e-005	    2.837735e-005	        -88.37711
            192	    7.088164e-005	    7.909661e-005	        -79.47672
            256	    2.701355e-005	    2.345866e-005	        -88.92776
            320	    4.531629e-005	     4.20625e-005	        -84.17616
            384	     1.96421e-005	    1.706753e-005	        -91.69339
            448	    1.676253e-005	    2.777834e-005	        -89.77729
            512	    1.970684e-005	     2.18765e-005	        -90.62011
            576	     1.84738e-005	    1.826842e-005	        -91.70686
            640	    1.258184e-005	    1.195756e-005	        -95.21021
            704	    1.158893e-005	    1.460938e-005	        -94.58749
            768	    1.367617e-005	    1.597225e-005	         -93.5443
            832	    1.109063e-005	      8.4787e-006	         -97.1021
            896	    2.261811e-005	    2.246278e-005	         -89.9304
            960	    6.476484e-006	    1.253287e-005	        -97.01109
           1024	    3.957553e-005	    4.477999e-005	        -84.47153
           1088	    1.208496e-005	    1.224613e-005	        -95.28688
           1152	    2.294251e-005	    2.321797e-005	        -89.72474
           1216	    9.438854e-006	    8.852467e-006	        -97.76094
           1280	    1.217825e-005	    1.015177e-005	         -95.9969
           1344	    1.621753e-005	    1.656077e-005	         -92.6981
           1408	    1.838804e-005	    1.914694e-005	         -91.5198
           1472	     1.01928e-005	    1.316067e-005	        -95.57369
           1536	    1.089408e-005	    9.776226e-006	        -96.69068
           1600	    1.152432e-005	    1.333587e-005	        -95.07721
           1664	    1.141402e-005	    1.285897e-005	        -95.29247
           1728	    1.355278e-005	    1.100901e-005	        -95.15877
           1792	    7.492215e-006	    8.135891e-006	        -99.12481
           1856	    1.054231e-005	    1.207878e-005	        -95.90004
           1920	    1.011594e-005	     7.80887e-006	        -97.86985
           1984	    2.217997e-005	    2.540267e-005	        -89.44145
           2048	    2.620261e-005	    2.886165e-005	        -88.18279
           2112	    8.568087e-006	    1.020685e-005	        -97.50577
           2176	    9.180949e-006	    8.435094e-006	        -98.08436
           2240	    1.696291e-005	    1.738438e-005	        -92.29179
           2304	    1.392343e-005	    1.607513e-005	        -93.44601
