Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 102.4 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:   10
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	      0.002594667	    9.784926e-006	        -51.71831
            128	      0.002053885	      0.001802539	        -51.26819
            256	     0.0009883011	      0.001533911	        -54.77605
            384	     0.0004969645	     0.0008060718	         -60.4734
            512	     0.0002259361	     0.0005549495	        -64.44886
            640	     0.0003019361	     0.0004840268	        -64.87519
            768	     0.0001947172	     0.0003588421	        -67.78111
            896	     0.0001255035	     0.0002981418	        -69.80304
           1024	     0.0002261226	     0.0003156653	        -68.21667
           1152	     0.0001282082	     0.0002703598	        -70.48022
           1280	     0.0001417339	     0.0002205003	        -71.62988
           1408	     0.0001282483	     0.0002025339	        -72.40577
           1536	    8.854193e-005	     0.0001761916	        -74.10239
           1664	    9.463753e-005	     0.0001331138	        -75.73887
           1792	    9.477853e-005	     0.0002162023	        -72.53939
           1920	    8.608079e-005	     0.0001339792	        -75.95845
           2048	     0.0001734648	     0.0004316075	        -66.64793
           2176	    8.319382e-005	     0.0001012452	        -77.65184
           2304	    6.415538e-005	     0.0001415068	        -76.17262
           2432	    9.569525e-005	     0.0001466282	        -75.13464
           2560	     0.0001197785	     0.0001546266	        -74.17297
           2688	    5.096084e-005	     0.0001122902	        -78.17982
           2816	    8.913702e-005	      0.000130355	        -76.03141
           2944	    9.491159e-005	     0.0001341647	        -75.68501
           3072	     0.0001882879	     0.0001477484	        -72.41982
           3200	    5.319757e-005	     9.46728e-005	        -79.28378
           3328	     5.02313e-005	     0.0001037112	        -78.76829
           3456	    5.618939e-005	     8.26669e-005	        -80.00388
           3584	     5.12195e-005	    8.640624e-005	        -79.96131
           3712	    7.065923e-005	    9.168767e-005	        -78.72916
           3840	    4.858194e-005	    9.379726e-005	        -79.52409
           3968	    5.497998e-005	    7.040766e-005	        -80.97995
           4096	    4.580534e-005	    6.227016e-005	        -82.23611
           4224	    4.650041e-005	    7.756554e-005	        -80.87315
           4352	    5.965934e-005	    8.507336e-005	        -79.66708
           4480	    4.857203e-005	    7.257018e-005	        -81.17722
           4608	    5.541481e-005	    7.284154e-005	        -80.76927
           4736	    3.802745e-005	    5.692337e-005	        -83.29165
           4864	    3.746213e-005	    6.194107e-005	        -82.80659
           4992	    4.132106e-005	     5.30075e-005	        -83.45129
           5120	    4.128173e-005	    6.307459e-005	        -82.45454
           5248	    3.921102e-005	    5.659797e-005	        -83.24146
           5376	    4.673122e-005	    6.040429e-005	        -82.34146
           5504	    4.395495e-005	    5.221488e-005	         -83.3176
           5632	    2.983933e-005	    6.734658e-005	        -82.65524
           5760	    4.300732e-005	    6.189524e-005	        -82.45602
           5888	    2.351821e-005	    5.608614e-005	        -84.31944
           6016	    3.896151e-005	    4.521622e-005	        -84.48244
           6144	    4.014619e-005	    5.230696e-005	        -83.61737
           6272	    4.402997e-005	    3.911451e-005	        -84.59848
           6400	    4.692078e-005	    5.068384e-005	        -83.21444
           6528	    3.922011e-005	    4.469859e-005	        -84.51466
           6656	    3.513673e-005	    5.086343e-005	        -84.17746
           6784	    3.070446e-005	     5.37569e-005	         -84.1651
           6912	    3.516702e-005	    6.688317e-005	        -82.43358
           7040	    4.433612e-005	     5.21685e-005	        -83.29082
           7168	    4.237367e-005	    4.075209e-005	        -84.61394
           7296	     4.49657e-005	     5.98709e-005	        -82.51313
           7424	    5.006958e-005	    5.536166e-005	        -82.53999
           7552	    6.554637e-005	    7.887776e-005	        -79.78065
           7680	    7.807773e-005	     0.0001192683	        -76.92054
           7808	     0.0001220972	      0.000137156	        -74.72118
           7936	    9.899499e-005	    9.009371e-005	        -77.46738
           8064	     0.0001504155	     0.0001779331	         -72.6532
           8192	     0.0001136431	      0.000128315	        -75.31956
           8320	    9.393546e-005	     0.0001197058	        -76.35386
           8448	    8.246587e-005	    9.186359e-005	        -78.17028
           8576	    7.733849e-005	    8.653128e-005	        -78.70668
           8704	    7.116063e-005	    8.969362e-005	        -78.82438
