425	0.01
420	0.175862069
412	0.249425287
414	0.327586207
412	0.45862069
407	0.591954023
404	0.672413793
402	0.798850575
400	0.850574713
399.5	0.827586207
399	0.902298851
396	0.936781609
394.5	0.931034483
393	1
390.5	0.954022989
390	0.936781609
389.5	0.890804598
384	0.764367816
384.5	0.954022989
383	0.885057471
382.5	0.971264368
381.5	0.936781609
380	0.954022989
379	0.936781609
374	0.977011494
376	0.885057471
370	0.66091954
365	0.862068966
363	0.770114943
362	0.873563218
360	0.798850575
360	0.706896552
357	0.689655172
355.5	0.591954023
354	0.626436782
351	0.568965517
349	0.483908046
347.5	0.442528736
345	0.431034483
341	0.313793103
339	0.313793103
335.5	0.34137931
333	0.22183908
330	0.226436782
325	0.22183908
322	0.212643678
318	0.185057471
