Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 12.8 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:   10
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	     0.0002343554	    8.837937e-007	        -72.60244
             16	     7.17646e-008	     5.18226e-008	        -141.0592
             32	    7.219018e-008	    6.299725e-008	        -140.3715
             48	    9.351044e-008	    7.889683e-008	        -138.2481
             64	    9.043095e-008	    8.505295e-008	        -138.1215
             80	    6.945332e-008	    6.460066e-008	         -140.459
             96	    5.556552e-008	    6.625469e-008	        -141.2626
            112	    6.103198e-008	     5.98064e-008	        -141.3658
            128	    6.361661e-008	    6.201144e-008	        -141.0279
            144	    6.617634e-008	     7.43065e-008	        -140.0433
            160	    5.303607e-008	    6.692859e-008	        -141.3714
            176	    8.450905e-008	    6.332404e-008	        -139.5266
            192	    5.129281e-008	    5.022546e-008	        -142.8789
            208	    7.439992e-008	    6.615362e-008	        -140.0385
            224	     6.65479e-008	     6.56558e-008	        -140.5852
            240	    6.007463e-008	    5.641601e-008	        -141.6802
            256	    6.838608e-008	    6.204637e-008	        -140.6923
            272	    5.897219e-008	    5.345239e-008	        -141.9826
            288	    5.297778e-008	    7.550408e-008	         -140.702
            304	     7.55048e-008	    6.423291e-008	        -140.0759
            320	    5.342099e-008	    5.522453e-008	        -142.2889
            336	    4.733547e-008	    7.362041e-008	        -141.1574
            352	    6.232221e-008	    4.659374e-008	        -142.1788
            368	    5.561099e-008	    6.881332e-008	        -141.0636
            384	    5.577529e-008	    7.288886e-008	         -140.745
            400	    5.050897e-008	    6.082481e-008	        -142.0406
            416	    5.839014e-008	    6.328379e-008	        -141.2993
            432	    6.376591e-008	    6.133889e-008	        -141.0632
            448	    3.944964e-008	    6.194278e-008	        -142.6815
            464	    5.651767e-008	    6.341848e-008	        -141.4169
            480	    8.017822e-008	    7.356179e-008	        -139.2665
            496	    7.471706e-008	    7.669199e-008	        -139.4065
            512	    4.790581e-008	    4.396453e-008	        -143.7388
            528	    5.895501e-008	    6.484474e-008	        -141.1461
            544	    4.695219e-008	    5.099131e-008	        -143.1834
            560	    7.223969e-008	    5.970474e-008	        -140.5635
            576	    6.255787e-008	    4.967639e-008	         -141.951
            592	    8.495394e-008	    6.917973e-008	        -139.2071
            608	    6.526957e-008	    4.084521e-008	        -142.2706
            624	    5.834867e-008	    6.115936e-008	          -141.46
            640	    7.392867e-008	    5.981295e-008	        -140.4369
            656	     5.84266e-008	    6.364675e-008	        -141.2699
            672	    6.634934e-008	    6.542179e-008	        -140.6137
            688	    6.929847e-008	    6.281177e-008	        -140.5811
            704	    7.209286e-008	    5.259114e-008	        -140.9891
            720	     6.77631e-008	    5.548836e-008	        -141.1516
            736	    5.950871e-008	    7.249098e-008	         -140.557
            752	    6.824892e-008	    6.011769e-008	        -140.8239
            768	    6.507887e-008	    5.719591e-008	        -141.2455
            784	    6.827023e-008	    5.794231e-008	        -140.9593
            800	    7.214543e-008	    5.669417e-008	        -140.7473
            816	    6.119775e-008	    5.619378e-008	        -141.6097
            832	    5.915562e-008	    4.562579e-008	        -142.5328
            848	    8.084938e-008	    6.969714e-008	        -139.4331
            864	    7.053445e-008	     6.66837e-008	        -140.2587
            880	    5.557933e-008	    5.767588e-008	        -141.9276
            896	    5.509535e-008	    5.120124e-008	        -142.4741
            912	    5.594919e-008	    4.901025e-008	        -142.5709
            928	    6.024627e-008	    7.483325e-008	        -140.3482
            944	    4.659135e-008	    5.802379e-008	        -142.5668
            960	    5.152605e-008	    6.243069e-008	        -141.8359
            976	    6.572169e-008	    6.524305e-008	        -140.6672
            992	    4.627535e-008	    6.954604e-008	        -141.5627
           1008	    7.999445e-008	    5.381401e-008	        -140.3175
           1024	    8.604277e-008	    5.734897e-008	        -139.7093
           1040	    5.358214e-008	     5.39878e-008	        -142.3764
           1056	    5.106679e-008	    5.431406e-008	        -142.5509
           1072	    4.630311e-008	    5.926727e-008	        -142.4745
           1088	    6.488897e-008	    7.885819e-008	        -139.8175
           1104	     6.99548e-008	    6.080946e-008	        -140.6593
           1120	    5.226278e-008	    6.701342e-008	        -141.4133
           1136	    4.099541e-008	    6.126614e-008	        -142.6487
           1152	    6.061925e-008	    8.847451e-008	        -139.3921
           1168	    4.073249e-008	    4.846478e-008	        -143.9707
           1184	    8.507413e-008	    4.838741e-008	        -140.1868
           1200	    5.632257e-008	    6.966449e-008	        -140.9554
           1216	    6.988373e-008	    6.770536e-008	        -140.2375
           1232	     5.12578e-008	    9.431493e-008	        -139.3845
           1248	     4.82684e-008	    5.643869e-008	        -142.5844
           1264	    5.285638e-008	    6.806768e-008	        -141.2919
           1280	    6.327044e-008	    5.572666e-008	        -141.4821
           1296	     6.45049e-008	    5.271113e-008	        -141.5868
           1312	    5.465478e-008	    6.220318e-008	        -141.6391
           1328	     8.35033e-008	    7.001485e-008	        -139.2537
           1344	    5.770751e-008	    4.389513e-008	        -142.7927
           1360	    5.561637e-008	    5.997916e-008	        -141.7453
           1376	     5.93816e-008	    8.455874e-008	        -139.7158
           1392	     7.75687e-008	    8.116236e-008	        -138.9948
           1408	    6.279024e-008	    5.874904e-008	        -141.3112
           1424	    7.055907e-008	    5.931796e-008	        -140.7072
           1440	    5.722602e-008	    6.937471e-008	        -140.9218
           1456	    6.172095e-008	    7.458219e-008	        -140.2817
           1472	    5.691828e-008	    6.133686e-008	        -141.5478
           1488	    5.403362e-008	    7.035531e-008	        -141.0405
           1504	    7.061356e-008	    7.056408e-008	         -140.015
           1520	    6.381271e-008	    7.510807e-008	        -140.1263
           1536	    5.755168e-008	    7.705565e-008	        -140.3387
           1552	    5.257608e-008	     6.68383e-008	        -141.4077
           1568	    6.937232e-008	    6.861883e-008	        -140.2132
           1584	    5.307541e-008	    5.849897e-008	        -142.0488
           1600	    5.751463e-008	    6.900789e-008	        -140.9313
           1616	    5.565472e-008	    6.734103e-008	        -141.1735
           1632	    8.902394e-008	    6.060638e-008	         -139.356
           1648	    4.833171e-008	    6.638088e-008	        -141.7119
           1664	    7.125003e-008	    5.294702e-008	        -141.0348
           1680	    4.357906e-008	    6.616116e-008	        -142.0229
           1696	    5.941112e-008	      6.8263e-008	        -140.8674
           1712	    5.407053e-008	       6.475e-008	        -141.4775
           1728	    7.544773e-008	     4.70675e-008	        -141.0195
           1744	    5.098097e-008	    6.817255e-008	        -141.3987
           1760	    5.896527e-008	    6.324052e-008	        -141.2632
           1776	    6.421669e-008	     5.54022e-008	        -141.4308
           1792	    6.356176e-008	    5.904606e-008	        -141.2341
           1808	    7.261504e-008	    5.683101e-008	        -140.7044
           1824	    5.881197e-008	    7.576762e-008	        -140.3623
           1840	    5.706783e-008	    6.745915e-008	        -141.0749
           1856	    6.251476e-008	    5.675467e-008	        -141.4696
           1872	    8.427139e-008	    5.324308e-008	        -140.0277
           1888	    5.317802e-008	     5.57444e-008	        -142.2655
           1904	    5.442514e-008	    5.588742e-008	         -142.157
           1920	    6.034023e-008	    7.606773e-008	        -140.2561
           1936	    8.443305e-008	    8.505028e-008	        -138.4277
           1952	    5.838535e-008	    5.893778e-008	        -141.6225
           1968	     5.03939e-008	    5.493415e-008	        -142.5514
           1984	    5.366735e-008	    5.017985e-008	        -142.6775
           2000	    7.199196e-008	     6.56913e-008	        -140.2236
           2016	    7.040249e-008	    6.208698e-008	        -140.5496
           2032	    5.873245e-008	    5.491079e-008	        -141.8945
           2048	    6.107096e-008	    5.872019e-008	        -141.4401
           2064	    6.813288e-008	    7.151777e-008	        -140.1069
           2080	    6.542157e-008	    4.839736e-008	        -141.7899
           2096	    5.056944e-008	     4.69738e-008	        -143.2205
           2112	    5.023832e-008	    5.281288e-008	        -142.7465
           2128	    6.447426e-008	    6.918111e-008	        -140.4852
           2144	    6.747233e-008	    7.659706e-008	        -139.8215
           2160	    5.646732e-008	    6.081318e-008	        -141.6198
           2176	    5.696868e-008	    7.089776e-008	        -140.8239
           2192	    4.716427e-008	    5.638706e-008	        -142.6729
           2208	    6.421832e-008	    7.244272e-008	        -140.2817
           2224	    5.328931e-008	    7.012552e-008	        -141.1029
           2240	    5.596276e-008	     7.32875e-008	        -140.7043
           2256	    6.678275e-008	    6.045752e-008	        -140.9071
           2272	    5.281458e-008	    6.392814e-008	        -141.6265
           2288	    6.681972e-008	     5.03902e-008	        -141.5465
           2304	    5.431839e-008	    7.387915e-008	        -140.7528
           2320	    5.224512e-008	    7.267129e-008	        -140.9633
           2336	    5.682394e-008	    5.777882e-008	        -141.8261
           2352	    5.699595e-008	    7.478904e-008	        -140.5345
           2368	    5.165246e-008	    8.368166e-008	        -140.1455
           2384	    6.452094e-008	    4.969036e-008	        -141.7835
           2400	    6.549753e-008	    6.469023e-008	        -140.7187
           2416	    8.317899e-008	    5.282565e-008	        -140.1281
           2432	    5.233042e-008	    6.457029e-008	        -141.6066
           2448	    6.410333e-008	    6.367762e-008	        -140.8809
           2464	    5.481171e-008	    6.467894e-008	        -141.4341
           2480	    6.342913e-008	    6.663796e-008	        -140.7243
           2496	    6.296491e-008	    6.948694e-008	        -140.5586
           2512	     4.68329e-008	    6.172472e-008	        -142.2161
           2528	    5.564169e-008	    6.696973e-008	        -141.2028
           2544	    5.521768e-008	    5.335953e-008	        -142.2943
           2560	    7.256534e-008	    6.988675e-008	        -139.9354
           2576	     8.18965e-008	    4.820432e-008	        -140.4428
           2592	    6.754614e-008	    5.883043e-008	        -140.9564
           2608	    6.169287e-008	    5.764505e-008	        -141.4697
           2624	    6.222909e-008	    7.603236e-008	        -140.1532
           2640	    5.810075e-008	    5.698144e-008	        -141.7897
           2656	    5.396734e-008	    6.135758e-008	         -141.754
           2672	    6.172559e-008	    4.895538e-008	        -142.0714
           2688	    5.014313e-008	    6.365221e-008	         -141.827
           2704	    4.706907e-008	    5.428776e-008	        -142.8713
           2720	     7.05143e-008	    5.690941e-008	        -140.8561
           2736	    6.763855e-008	    8.682198e-008	        -139.1675
           2752	    7.683386e-008	    5.775631e-008	        -140.3436
           2768	    4.989556e-008	    6.125166e-008	        -142.0472
           2784	     6.30934e-008	    8.222071e-008	        -139.6895
           2800	    5.661146e-008	    6.260024e-008	         -141.473
           2816	    6.921695e-008	    7.200101e-008	        -140.0108
