Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 400 Hz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:    5
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
           38.5	    8.519573e-009	    5.294245e-009	        -159.9735
             39	    1.226215e-008	    6.637631e-009	        -157.1126
           39.5	    1.179798e-008	    1.195888e-008	        -155.4943
             40	    1.135717e-008	    1.817068e-008	        -153.3804
           40.5	    9.819666e-009	    1.061989e-008	        -156.7942
             41	    1.523075e-008	    1.096238e-008	        -154.5327
           41.5	    1.285534e-008	    1.165018e-008	        -155.2145
             42	    1.339497e-008	    1.166738e-008	        -155.0093
           42.5	    1.213571e-008	     7.73967e-009	        -156.8366
             43	    9.799125e-009	    1.065054e-008	        -156.7891
           43.5	    1.248767e-008	    8.563278e-009	        -156.3965
             44	    1.646966e-008	     1.52575e-008	        -152.9753
           44.5	    7.190964e-009	     8.07641e-009	        -159.3204
             45	    3.457968e-009	    7.966484e-009	         -161.225
           45.5	    8.251238e-009	    1.043527e-008	        -157.5208
             46	     1.52239e-008	    9.098048e-009	        -155.0232
           46.5	    1.204727e-008	    1.273218e-008	        -155.1252
             47	    1.065374e-008	    1.298434e-008	         -155.496
           47.5	    1.055725e-008	    1.320047e-008	        -155.4408
             48	    7.695342e-009	    7.400032e-009	        -159.4318
           48.5	    1.308746e-008	    7.171623e-009	        -156.5225
             49	    1.029827e-008	    8.157491e-009	        -157.6296
           49.5	    5.411771e-009	    1.911453e-008	        -154.0379
             50	    5.150774e-009	    1.021299e-008	        -158.8327
           50.5	    8.818708e-009	    6.911299e-009	        -159.0123
             51	    1.227882e-008	    7.514534e-009	        -156.8353
           51.5	    9.170228e-009	    7.950971e-009	        -158.3176
             52	    8.082502e-009	    1.198813e-008	        -156.7977
           52.5	    1.126659e-008	    5.719093e-009	        -157.9685
             53	    1.474853e-008	    7.722031e-009	        -155.5729
           53.5	    1.349061e-008	    9.828428e-009	        -155.5503
             54	    8.379826e-009	    1.023667e-008	        -157.5694
           54.5	    1.352085e-008	    1.520256e-008	        -153.8307
